geo_level_2_id,freq,pct
39,4038,1.5494952053138706
158,2520,0.9669955218897855
181,2080,0.7981550339407754
1387,2040,0.7828058986726835
157,1897,0.7279327400892552
363,1760,0.6753619517960407
463,1740,0.6676873841619948
673,1704,0.6538731624207121
533,1684,0.6461985947866662
883,1626,0.6239423486479331
1394,1537,0.5897905226764287
548,1497,0.5744413874083368
1006,1450,0.556406153468329
720,1359,0.52148687073342
991,1145,0.43936899704912874
1001,1135,0.43553171323210577
889,1114,0.42747341721635757
765,1091,0.41864766443720475
1253,1090,0.41826393605550244
1155,1069,0.4102056400397543
1401,1063,0.4079032697495405
886,1053,0.4040659859325175
151,1043,0.4002287021154946
660,1041,0.39946124535208993
131,1038,0.39831006020698306
1229,1024,0.39293786286315097
1023,995,0.38180973979378435
574,947,0.36339077747207416
390,941,0.3610884071818604
1106,912,0.3499602841124938
269,906,0.34765791382228006
1382,866,0.3323087785541882
1132,859,0.3296226798822721
36,855,0.32808776635546294
376,828,0.31772710004950094
603,790,0.3031454215448137
845,777,0.2981569525826839
745,776,0.29777322420098157
1050,743,0.28511018760480583
1080,725,0.2782030767341645
445,722,0.27705189158905763
175,720,0.276284434825653
422,700,0.2686098671916071
432,694,0.2663074969013933
310,689,0.26438885499288184
1000,668,0.25633055897713364
337,662,0.25402818868691984
1397,658,0.25249327516011066
996,635,0.24366752238095787
1166,614,0.23560922636520965
508,614,0.23560922636520965
661,613,0.23522549798350736
178,606,0.23253939931159126
1174,603,0.23138821416648442
421,601,0.2306207574030798
517,594,0.22793465873116375
417,593,0.22755093034946142
1074,592,0.22716720196775914
1181,585,0.2244811032958431
735,580,0.22256246138733157
107,575,0.2206438194788201
76,560,0.21488789375328568
87,551,0.21143433831796501
73,545,0.20913196802775122
1055,545,0.20913196802775122
640,543,0.20836451126434666
216,538,0.20644586935583517
501,533,0.2045272274473237
230,531,0.2037597706839191
1028,530,0.2033760423022168
724,529,0.2029923139205145
1250,522,0.20030621524859843
566,522,0.20030621524859843
628,520,0.19953875848519384
356,512,0.19646893143157548
1218,508,0.19493401790476628
254,500,0.19186419085114792
190,500,0.19186419085114792
1140,500,0.19186419085114792
1149,499,0.19148046246944564
912,498,0.19109673408774333
1081,497,0.19071300570604105
1414,495,0.18994554894263643
1225,491,0.18841063541582725
233,490,0.18802690703412497
453,484,0.18572453674391118
895,483,0.1853408083622089
788,482,0.1849570799805066
938,479,0.18380589483539972
173,478,0.1834221664536974
617,477,0.18303843807199513
264,476,0.18265470969029282
275,468,0.17958488263667446
1425,466,0.17881742587326988
728,466,0.17881742587326988
1202,465,0.17843369749156757
678,464,0.17804996910986529
1334,461,0.1768987839647584
1350,460,0.17651505558305608
546,459,0.1761313272013538
1097,458,0.1757475988196515
136,457,0.1753638704379492
90,455,0.17459641367454462
435,452,0.17344522852943772
763,451,0.17306150014773541
171,451,0.17306150014773541
108,451,0.17306150014773541
127,449,0.17229404338433082
953,449,0.17229404338433082
251,448,0.17191031500262854
358,448,0.17191031500262854
1289,448,0.17191031500262854
1415,447,0.17152658662092624
885,446,0.17114285823922396
816,437,0.1676893028039033
1152,437,0.1676893028039033
1169,435,0.1669218460404987
1215,434,0.1665381176587964
440,431,0.16538693251368952
762,428,0.16423574736858262
313,422,0.16193337707836886
399,422,0.16193337707836886
1207,420,0.16116592031496427
558,419,0.16078219193326196
1021,417,0.16001473516985737
575,416,0.15963100678815506
457,416,0.15963100678815506
613,415,0.15924727840645278
352,414,0.15886355002475047
746,412,0.15809609326134588
336,411,0.1577123648796436
819,410,0.1573286364979413
621,409,0.156944908116239
1373,409,0.156944908116239
800,407,0.15617745135283442
670,406,0.15579372297113211
1308,404,0.15502626620772753
369,403,0.15464253782602522
529,402,0.15425880944432294
55,401,0.15387508106262063
935,401,0.15387508106262063
105,401,0.15387508106262063
863,400,0.15349135268091835
641,396,0.15195643915410917
11,395,0.15157271077240686
210,393,0.15080525400900227
747,392,0.15042152562729996
896,391,0.15003779724559768
930,390,0.14965406886389537
477,390,0.14965406886389537
1127,389,0.1492703404821931
1287,388,0.14888661210049078
303,388,0.14888661210049078
268,387,0.1485028837187885
385,384,0.1473516985736816
937,382,0.14658424181027702
430,382,0.14658424181027702
811,380,0.14581678504687243
891,380,0.14581678504687243
229,380,0.14581678504687243
